Technology,Year,Investment,Patents 
Marine Energy,2004,0,514
Marine Energy,2005,100000000,553
Marine Energy,2006,800000000,668
Marine Energy,2007,800000000,924
Marine Energy,2008,200000000,1064
Marine Energy,2009,300000000,1485
Marine Energy,2010,200000000,1533
Marine Energy,2011,200000000,1376
Marine Energy,2012,300000000,1402
Marine Energy,2013,200000000,1360
Marine Energy,2014,300000000,1308
Marine Energy,2015,200000000,821
Marine Energy,2016,200000000,270
Geothermal Energy,2004,1200000000,254
Geothermal Energy,2005,1200000000,253
Geothermal Energy,2006,1400000000,352
Geothermal Energy,2007,1700000000,503
Geothermal Energy,2008,1700000000,578
Geothermal Energy,2009,2800000000,897
Geothermal Energy,2010,2900000000,726
Geothermal Energy,2011,3900000000,830
Geothermal Energy,2012,1600000000,832
Geothermal Energy,2013,2900000000,749
Geothermal Energy,2014,2900000000,661
Geothermal Energy,2015,2300000000,371
Geothermal Energy,2016,2700000000,165
Hydropower,2004,2700000000,1234
Hydropower,2005,7400000000,1252
Hydropower,2006,7500000000,1594
Hydropower,2007,6400000000,2039
Hydropower,2008,7600000000,2573
Hydropower,2009,6200000000,3249
Hydropower,2010,8100000000,3396
Hydropower,2011,7500000000,3848
Hydropower,2012,6400000000,3853
Hydropower,2013,5600000000,3255
Hydropower,2014,6400000000,3192
Hydropower,2015,3500000000,2324
Hydropower,2016,3500000000,729
Wind Energy,2004,19600000000,3248
Wind Energy,2005,28500000000,3685
Wind Energy,2006,39700000000,4254
Wind Energy,2007,61100000000,6192
Wind Energy,2008,74800000000,8411
Wind Energy,2009,79700000000,11180
Wind Energy,2010,1.016E+11,12741
Wind Energy,2011,84200000000,13549
Wind Energy,2012,84400000000,12748
Wind Energy,2013,89000000000,9820
Wind Energy,2014,1.085E+11,8812
Wind Energy,2015,1.242E+11,5908
Wind Energy,2016,1.125E+11,1812
Solar Energy ,2004,11200000000,6832
Solar Energy ,2005,15900000000,7777
Solar Energy ,2006,21900000000,10212
Solar Energy ,2007,38900000000,13720
Solar Energy ,2008,61300000000,19625
Solar Energy ,2009,64000000000,27682
Solar Energy ,2010,1.036E+11,34156
Solar Energy ,2011,1.549E+11,36540
Solar Energy ,2012,1.406E+11,36135
Solar Energy ,2013,1.191E+11,29899
Solar Energy ,2014,1.439E+11,22504
Solar Energy ,2015,1.717E+11,15525
Solar Energy ,2016,1.137E+11,4916
